number,value,datetime_start,datetime_complete,duration,params_N_latent,params_Nh1,params_Nh2,params_Nh3,params_ch1,params_ch2,params_ch3,params_ch4,params_ks1,params_ks2,params_ks3,params_ks4,params_lr,params_ncl,params_nll,params_p1,params_p2,params_p3,params_padding1,params_padding2,params_padding3,params_padding4,params_patience,params_prune_every,params_pruning_amount1,params_pruning_amount2,params_pruning_amount3,params_pruning_amount4,params_stride1,params_stride2,params_stride3,params_stride4,params_train_batch_size,params_weight_decay,state
43,0.20863042657109104,2021-01-19 02:47:18.491527,2021-01-19 02:54:55.924719,0 days 00:07:37.433192,6.0,178.0,,,6.0,11.0,12.0,,6.0,3.0,3.0,,0.0011270243135711377,3.0,1.0,0.15627427321711593,,,3.0,0.0,1.0,,11.0,4.0,0.3426736675259662,0.13294016565485903,0.2205192397471774,0.20474740057394505,2.0,4.0,3.0,,389.0,5.560591672557353e-07,COMPLETE
44,0.2566573830138246,2021-01-19 02:54:55.961508,2021-01-19 03:21:53.935815,0 days 00:26:57.974307,6.0,184.0,,,6.0,10.0,12.0,,6.0,2.0,2.0,,0.0003463271567075777,3.0,1.0,0.15636177095746132,,,3.0,0.0,1.0,,12.0,4.0,0.33339191318598144,0.0390154687993611,0.2809919576926346,0.19835631994145259,1.0,4.0,3.0,,402.0,4.932931292012102e-07,COMPLETE
45,,2021-01-19 03:21:53.972798,2021-01-19 03:29:52.063040,0 days 00:07:58.090242,7.0,170.0,,,7.0,12.0,18.0,,6.0,3.0,3.0,,9.262108869578705e-05,3.0,1.0,0.2160750126133551,,,3.0,0.0,1.0,,11.0,6.0,0.3134063794361426,0.12809315556515172,0.22067507186628488,0.14992057530003344,2.0,4.0,2.0,,472.0,2.288908495858858e-07,PRUNED
46,,2021-01-19 03:29:52.082916,2021-01-19 03:33:32.292184,0 days 00:03:40.209268,5.0,127.0,45.0,,6.0,10.0,7.0,,6.0,3.0,2.0,,0.0013459221594869578,3.0,2.0,0.27149244938652395,0.15750051974149845,,3.0,0.0,1.0,,11.0,6.0,0.36222773796322083,0.06450599412751604,0.31875621833727913,0.20352542364508802,2.0,4.0,4.0,,507.0,1.564289560602261e-06,PRUNED
47,0.18873762481500705,2021-01-19 03:33:32.316106,2021-01-19 03:48:54.957139,0 days 00:15:22.641033,6.0,57.0,,,6.0,12.0,17.0,,2.0,2.0,3.0,,0.002892682742579524,3.0,1.0,0.19015101404649162,,,1.0,0.0,1.0,,13.0,5.0,0.3984340115492294,0.10014416305834842,0.2135077871397597,0.0679659281580344,1.0,1.0,3.0,,383.0,6.505651220946865e-07,COMPLETE
48,0.2101623049699068,2021-01-19 03:48:54.994098,2021-01-19 04:01:55.448157,0 days 00:13:00.454059,4.0,52.0,66.0,,7.0,12.0,17.0,,2.0,2.0,4.0,,0.002832849897760806,3.0,2.0,0.19245436581697128,0.30558935554766314,,1.0,0.0,0.0,,15.0,7.0,0.4460650561852041,0.10284178757975608,0.3308654388438547,0.006633137104639725,1.0,1.0,3.0,,466.0,6.570450743011264e-06,COMPLETE
49,0.199250063039879,2021-01-19 04:01:55.483778,2021-01-19 04:27:18.849124,0 days 00:25:23.365346,9.0,42.0,,,6.0,14.0,20.0,63.0,3.0,2.0,3.0,2.0,0.004755480500436637,4.0,1.0,0.28468060687655405,,,1.0,0.0,1.0,1.0,13.0,5.0,0.3848066356254506,0.2421823018381124,0.16827052246795926,0.08235780549759202,1.0,1.0,2.0,1.0,315.0,9.11258675892682e-05,COMPLETE
50,0.2950993338528474,2021-01-19 10:17:24.343254,2021-01-19 10:37:25.100101,0 days 00:20:00.756847,10.0,41.0,101.0,,6.0,14.0,22.0,62.0,2.0,2.0,2.0,2.0,0.003872546161945627,4.0,2.0,0.2910000717824873,0.18515071045272902,,1.0,0.0,1.0,1.0,13.0,5.0,0.45983592023269365,0.24186848368687763,0.17657721502507268,0.07851195852795381,1.0,1.0,2.0,1.0,261.0,0.00010960895506565132,COMPLETE
51,0.1892964412263632,2021-01-19 10:37:25.135929,2021-01-19 11:02:00.740859,0 days 00:24:35.604930,8.0,30.0,,,6.0,13.0,18.0,47.0,3.0,2.0,3.0,3.0,0.006406642206265929,4.0,1.0,0.2534220204614753,,,1.0,0.0,1.0,1.0,13.0,5.0,0.39493460613713366,0.015558324281198965,0.268476801191636,0.05937545195107765,1.0,1.0,2.0,1.0,362.0,2.2113646115562088e-05,COMPLETE
52,0.19017111951102814,2021-01-19 11:02:00.780665,2021-01-19 11:27:24.061584,0 days 00:25:23.280919,8.0,27.0,,,6.0,14.0,19.0,50.0,3.0,2.0,3.0,3.0,0.0064104435925484505,4.0,1.0,0.32458683499290214,,,1.0,0.0,1.0,1.0,13.0,5.0,0.3966780034770162,0.3535946268969905,0.24614460050178733,0.05543002369713721,1.0,1.0,2.0,1.0,315.0,3.168237240188172e-05,COMPLETE
